BPM,RMS Energy,Zero-Crossing Rate,Жанр,Настроение
107,0.6675696238652399,0.2733737410621683,рок,Веселое
91,0.20618691666342726,0.1183963769398141,хип-хоп,Спокойное
72,0.23916256135817637,0.07066843598767454,хип-хоп,Грустное
118,0.4483607011362766,0.10752736948459396,поп,Веселое
100,0.7394679179698698,0.19554297817604555,рок,Спокойное
133,0.5073899427560628,0.14974483088605758,рок,Спокойное
156,0.7760533769831114,0.11069705934947378,рок,Спокойное
117,0.21232025503036275,0.19286381925624602,поп,Спокойное
119,0.27525815820399835,0.08992981040423674,поп,Грустное
76,0.20828959476551318,0.14366481518557073,хип-хоп,Спокойное
113,0.6675953018856915,0.1779236172438407,рок,Грустное
102,0.271936207747221,0.1252086763925529,поп,Энергичное
91,0.40985366323015815,0.12934480650466235,поп,Веселое
125,0.5975574860733739,0.11834082945169622,рок,Спокойное
95,0.3914811781530051,0.1482897762998897,поп,Энергичное
114,0.32849434248203235,0.09978011133644012,поп,Веселое
98,0.13774142166827588,0.10805440123439097,хип-хоп,Веселое
126,0.45812138549350256,0.1273426158329756,поп,Веселое
159,0.6883759697008518,0.28923890857633805,рок,Энергичное
159,0.5489131066246973,0.11999697743237268,рок,Грустное
139,0.5434587125184656,0.24884233138865958,рок,Энергичное
71,0.18955663291461833,0.11158511643899138,хип-хоп,Спокойное
138,0.29844580024241957,0.1684520847011623,поп,Спокойное
100,0.5400313630778704,0.2376060020350078,рок,Энергичное
77,0.25706813022278874,0.09965611906830776,хип-хоп,Веселое
79,0.2712648583756185,0.11798447799002458,хип-хоп,Грустное
140,0.6170160922219597,0.12269292040348961,рок,Грустное
122,0.6322746485745819,0.15952703490186218,рок,Грустное
121,0.5016654596278955,0.23620788541938179,рок,Грустное
103,0.28895304309433956,0.17625310988320808,поп,Веселое
80,0.2953229911665306,0.13866803872980477,хип-хоп,Грустное
99,0.21853934477587872,0.14442515971251674,хип-хоп,Веселое
73,0.2765272686378679,0.07500164492161046,хип-хоп,Спокойное
146,0.7977829850443283,0.19650418992852847,рок,Веселое
93,0.4945522664931593,0.19504428888894154,поп,Спокойное
158,0.5118241367187035,0.21626108344535644,рок,Грустное
94,0.38345411325970413,0.11872236659331004,поп,Энергичное
103,0.20155545883219605,0.19095719962683155,поп,Спокойное
117,0.32340617151700357,0.11357162086027349,поп,Спокойное
152,0.4703701010709382,0.198605131554361,рок,Веселое
124,0.4715290836885315,0.22048818518022378,рок,Энергичное
121,0.22824709648056804,0.16713450128862178,поп,Спокойное
94,0.28810465289792075,0.0885396620965565,хип-хоп,Веселое
91,0.29668462817896857,0.06285003532339102,хип-хоп,Грустное
134,0.4835674870461441,0.25343897062171433,рок,Спокойное
